id,portal,title,property_type,canon,admin_fee,total_price,price_per_m2,neighborhood,zone,address,area_m2,bedrooms,bathrooms,parking,stratum,url,contact_phone,contact_whatsapp,contact_agency,contact_agent_name,images_count,main_image,verified,description
MERGED-9851-M6989944-194166824,Metrocuadrado + Finca Raiz,"Apartamento en Arriendo en Villa carolina, Barranquilla",Apartamento,1450000,280000,1730000,20353,Villa Carolina,Norte,Carrera 73   # 88 - 22    Apto 204 Torre 1 Edificio PALMERAS DE ANDALUCIA,85.0,3,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-villa-carolina-3-habitaciones-2-banos-1-garajes/9851-M6989944,6053303333,573176969321,CASARRIENDOS S.A.S. / FINANCAR S.A / Financar S.A.,Asesor Comercial,45,https://multimedia.metrocuadrado.com/9851-M6989944/9851-M6989944_70.jpg,True,"Apartamento en buen estado, ubicado en una agradable zona residencial. Cuenta con cocina integral, balcón, zona de labores y garaje, además de una agradable vista hacia la calle.  Su excelente ubicación permite fácil acceso a supermercados y diferentes servicios y comercios, convirtiéndolo en una ex"
MERGED-MC4054633-192750440,Metrocuadrado + Finca Raiz,"Apartamento en Arriendo, EL PRADO   Noroccidente, Barranquilla",Apartamento,1730000,0,1730000,20843,El Prado,Noroccidente,"Carrera 60 # 64-63, San Francisco, Barranquilla, Atlántico, Colombia",83.0,2,1,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-el-prado-2-habitaciones-1-banos-1-garajes/MC4054633,3104215698,573104215698,Persona natural / Samuel De Las Salas,Mateo  De Las Salas,29,https://multimedia.metrocuadrado.com/MC4054633/MC4054633_1.jpg,True,"DISPONIBLE PARA MUDANZA INMEDIATA. Cómodo apartamento (tercer piso) en exclusivo barrio de la ciudad (El Prado). Cuenta con dos habitaciones, un baño común, sala, cocina independiente con cuarto y baño de servicio. El apartamento cuenta con parqueadero propio. Arrendamiento directo. Comunicarse por "
MQ-671-M5552557,Metrocuadrado,"Apartamento en Arriendo, HORIZONTES DE MIRAMAR   Noroccidente, Barranquilla",Apartamento,1522919,232481,1755400,31916,Miramar,Noroccidente,"Horizontes de Miramar, Barranquilla",55.0,2,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-miramar-2-habitaciones-2-banos-1-garajes/671-M5552557,3104736731,573160232662,CONINSA RAMON H. S.A. / FINANCAR S.A / Inmobiliaria / Persona natural,Agencia Arenas Arenas,70,https://multimedia.metrocuadrado.com/671-M5552557/671-M5552557_37.jpg,True,"APARTAMENTO EN ARRIENDO EN MIRAMAR – CONJUNTO FLORENCIA  ¿ ¡Vive en una de las zonas más buscadas de Barranquilla! Este apartamento en el Conjunto Florencia, Miramar, es una excelente opción para quienes buscan comodidad, buenas zonas sociales y una ubicación estratégica.  ¿ Cuenta con 54 m² distrib"
MQ-MC6892086,Metrocuadrado,"Apartamento en Arriendo, CIUDAD MALLORQUIN   Zona Urbana, Barranquilla",Apartamento,1500000,280000,1780000,30690,Ciudad Mallorquin Zona Urbana,Noroccidente,"Ciudad Mallorquin Zona Urbana, Barranquilla",58.0,2,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-ciudad-jardin-2-habitaciones-2-banos-1-garajes/MC6892086,3015992098,573015992098,Persona natural,Karol Peñuela Villarreal,12,https://multimedia.metrocuadrado.com/MC6892086/MC6892086_1.jpg,True,"ARRIENDO APARTAMENTO MODERNO - CIUDAD MALLORQUIN - AIRES ACONDICIONADOS INCLUIDOS.  Se arrienda moderno apartamento - 1707, Torre 1, en el conjunto residencial Amore. Cuenta con excelente iluminación natural, agradables vistas y espacios cómodos, ideales para una pareja o una familia.  El apartament"
MQ-MC6893700,Metrocuadrado,"Apartamento en Arriendo, ALTO DE RIOMAR   Noroccidente, Barranquilla",Apartamento,1300000,490000,1790000,18454,Alto de Riomar,Noroccidente,"Alto de Riomar, Barranquilla",97.0,4,3,1,6,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-riomar-4-habitaciones-3-banos-1-garajes/MC6893700,3232226052,573232226052,Persona natural,Marco Vanegas,12,https://multimedia.metrocuadrado.com/MC6893700/MC6893700_1.jpg,True,Apartamento de primer piso con amplios espacios. Atractivo para personas mayores. Escaleras para acceso con 4 escalones. Excelente alumbrado y ventilación natural todo el año. Cocina y baños remodelados hace 15 meses. Cuarto y baño de servicio independientes. Garaje cubierto con accesos amplios para
MQ-9851-M6350920,Metrocuadrado,"Apartamento en Arriendo, San Vicente, Barranquilla",Apartamento,1400000,394091,1794091,38172,San Vicente,Norte,"San Vicente, Barranquilla",47.0,1,1,0,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-san-vicente-1-habitaciones-1-banos/9851-M6350920,6053303333,573176969321,FINANCAR S.A,Asesor Comercial,12,https://multimedia.metrocuadrado.com/9851-M6350920/9851-M6350920_25.jpg,True,"APARTAMENTO EN BUEN ESTADO, CERCA A ZONA COMERCIAL, BANCOS Y SUPERMERCADOS."
MQ-671-M5382511,Metrocuadrado,"Apartamento en Arriendo, Los Alpes, Barranquilla",Apartamento,1800000,0,1800000,14138,Los Alpes,Noroccidente,"Los Alpes, Barranquilla",127.32,3,2,0,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-los-alpes-3-habitaciones-2-banos/671-M5382511,3104736731,573160232662,Inmobiliaria,Agencia Arenas Arenas,12,https://multimedia.metrocuadrado.com/671-M5382511/671-M5382511_181.jpg,True,"Apartamento en arriendo en segundo piso, ubicado en Barranquilla sector del Barrio la cumbre , en edificio de construcción tradicional sin ascensor, la edificación cuenta con 2 pisos y el apartamento se encuentra en piso 2 ,con un área construida de 113.32 mt2 consta de 3 amplias habitaciones ,2 bañ"
MQ-MC7077701,Metrocuadrado,"Apartamento en Arriendo, EL TABOR   Noroccidente, Barranquilla",Apartamento,1800000,0,1800000,18557,El Tabor,Noroccidente,"El Tabor, Barranquilla",97.0,3,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-el-tabor-3-habitaciones-2-banos-1-garajes/MC7077701,3226319872,573226319872,Persona natural,wilmer correa,12,https://multimedia.metrocuadrado.com/MC7077701/MC7077701_14.jpg,True,"Para mayor información escribanos vía WhatsApp y uno de nuestros agentes inmobiliarios te atenderá. Apartamento en arriendo en la ciudad de Barranquilla, ubicado en el barrio Rio Alto, en un edificio con vigilancia privada y zonas sociales de entretenimiento, piscina, zona infantil, gimnasio, piscin"
MERGED-13156-M5054315-193839107,Metrocuadrado + Finca Raiz,"Apartamento en Arriendo en San vicente, Barranquilla",Apartamento,1268000,532000,1800000,22500,San Vicente,Norte,"San Vicente, Barranquilla",80.0,2,2,1,6,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-san-vicente-2-habitaciones-2-banos-1-garajes/13156-M5054315,3218521992,573218521992,CERTAIN & PEZZANO GRUPO INMOBILIARIO S.A.S. / SOFIA SANABRIA,Asesor Comercial,18,https://multimedia.metrocuadrado.com/13156-M5054315/13156-M5054315_1121.jpg,True,"?✨ ¡Apartamento en Arriendo en San Vicente, Barranquilla! ✨?  Vive en una de las zonas más tradicionales y estratégicas de la ciudad. Este acogedor apartamento combina comodidad, funcionalidad y una excelente ubicación para disfrutar de todo lo que Barranquilla tiene para ofrecer.  ? Área de 80 m² ?"
FR-193846999,Finca Raiz,"Apartamento en Arriendo en Miramar, Barranquilla",Apartamento,1800000,0,1800000,22500,Miramar,Noroccidente,"Conjunto Residencial Portal de Miramar, Carrera 45, Norte Centro Historico, Barranquilla, Atlántico, Colombia",80.0,3,2,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-miramar-barranquilla/193846999,+5730,,SISI BIENES RAICES S.A.S.,SISI BIENES RAICES S.A.S.,20,https://cdn2.infocasas.com.uy/repo/img/6a234582acead_infocdn__ji2plpa5pzch8jqoktr97rc5ggphkdkekp9722mhjpg.jpg,True,"Descubra la vida de sus sueños en este hermoso y espacioso apartamento, bañado en luz natural. Su diseño inteligente integra una sala y comedor amplios, una cocina moderna, área de labores y un balcón privado, perfecto para disfrutar de la brisa. Estratégicamente ubicado en el corazón del codiciado "
