id,portal,title,property_type,canon,admin_fee,total_price,price_per_m2,neighborhood,zone,address,area_m2,bedrooms,bathrooms,parking,stratum,url,contact_phone,contact_whatsapp,contact_agency,contact_agent_name,images_count,main_image,verified,description
FR-194279563,Finca Raiz,"Apartamento en Arriendo en La concepcion, Barranquilla",Apartamento,1600000,269700,1869700,32236,La concepcion,Noroccidente,Carrera 73  # 75 - 52,58.0,2,2,0,3,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-concepcion-barranquilla/194279563,+5731,,Financar S.A.,Financar S.A.,30,https://cdn2.infocasas.com.uy/repo/img/6aadece129ff0_infocdn__103729-1-1675116340-1jpg.jpg,True,"Apartamento listo para estrenar ubicado al norte de la ciudad de ambiente fresco luz natural durante el día. Cuenta con cocina integral con mesón en granito pulido gabinetes superior e inferiores, sala comedor, hall de alcoba, el apto es lado sol en la mañana, vista exterior, parqueadero comunal, la"
FR-191138462,Finca Raiz,"Apartamento en  Arriendo en Villa santos, Barranquilla",Apartamento,1400000,470500,1870500,28341,Villa santos,Noroccidente,"Calle 102 #49e - 89, Riomar, Barranquilla, Atlántico, Colombia",66.0,2,2,1,6,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-villa-santos-barranquilla/191138462,+5731,,Habitat Inmobiliaria Ltda.,Habitat Inmobiliaria Ltda.,16,https://cdn2.infocasas.com.uy/repo/img/669fbdbb0488a_infocdn__hdwmieehh02er8hjyszpa763pqegtikajyfejnqrjpg.jpg,True,"EDIFICIO SOHO 102, EXCELENTE UBICACIÓN, VILLA SANTOS , VIGILANCIA PRIVADA, PARQUEO DE VISITANTES, TERRAZA BBQ, BAHIA VEHICULAR,  ASCENSORES. APARTAMENTO, ESTUFA, CAMPANA,  CONTÁCTENOS PARA PROGRAMAR VISITA"
MQ-710-M6427115,Metrocuadrado,"Apartamento en Arriendo, San Vicente, Barranquilla",Apartamento,1900000,0,1900000,14074,San Vicente,Norte,"San Vicente, Barranquilla",135.0,2,2,1,6,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-san-vicente-2-habitaciones-2-banos-1-garajes/710-M6427115,3204940443,573204940443,Inmobiliaria,BIENES Y PROYECTOS INMOBILIARIOS,6,https://multimedia.metrocuadrado.com/710-M6427115/710-M6427115_120.jpg,True,"Arriendo amplio apartamento, en el sector de San Vicente, tiene un area de 103 M2, consta de sala-comedor, 2 habitaciones, estudio, 2 baños, cocina integral, area de labores, habitacion y baño del servicio   Cuenta con un parqueadero para 2 vehiculos en linea  Tiene una ubicación estratégica cerca a"
MQ-130-M5159622,Metrocuadrado,"Apartamento en Arriendo, Bellavista, Barranquilla",Apartamento,1900000,0,1900000,16964,Bellavista,Norte,"Bellavista, Barranquilla",112.0,3,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-bellavista-3-habitaciones-2-banos-1-garajes/130-M5159622,3203509099,573124639876,Inmobiliaria,ALIADOS INMOBILIARIOS,12,https://multimedia.metrocuadrado.com/130-M5159622/130-M5159622_66.jpg,True,"Apartamento amplio en el segundo piso con un área  de 112 m2, consta de sala comedor, balcón, cocina semi integral, zona de labores, cuarto de servicio con baño, hall, alcoba principal con baño interno y closet, alcobas auxiliares con closet, un parqueadero lineal doble, edificio consta de citofono,"
MQ-710-M6987640,Metrocuadrado,"Apartamento en Arriendo, Alto Prado, Barranquilla",Apartamento,1900000,0,1900000,18095,Alto Prado,Norte,"Alto Prado, Barranquilla",105.0,3,3,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-alto-prado-3-habitaciones-3-banos-1-garajes/710-M6987640,3204940443,573204940443,Inmobiliaria,BIENES Y PROYECTOS INMOBILIARIOS,6,https://multimedia.metrocuadrado.com/710-M6987640/710-M6987640_36.jpg,True,"Arriendo apartameno, en el sector de Alto Prado, ubicado en piso 3, tiene un area de 105 M2, consta de salacomedor, 3 habitaciones, 2 baños, cocina, area de labores, habitación y baño del servicio,  El edificio cuenta con ascensor, parqueadero independiente y vigilancia.  Ubicado cerca a centros med"
MQ-20205-M7077900,Metrocuadrado,"Apartamento en Arriendo, Paraiso, Barranquilla",Apartamento,1480000,420000,1900000,21111,Paraiso,Norte,"Paraiso, Barranquilla",90.0,3,3,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-paraiso-3-habitaciones-3-banos-1-garajes/20205-M7077900,3212613687,573212613687,Inmobiliaria,Luis Miguel Pachón Escobar,12,https://multimedia.metrocuadrado.com/20205-M7077900/20205-M7077900_15.jpg,True,"Apartamento con 3 habitaciones, 3 baños, dos balcones pequeños, piso 3, cocina con ventilacion natural y cerrada, zona de lavanderia independiente y ventilacion natural, sala comedor, parqueadero cubierto y servicio de concerje las 24 horas. Excelente ubicacion con transporte publico cercano y zonas"
MQ-MC3355626,Metrocuadrado,"Apartamento en Arriendo, EL TABOR   Noroccidente, Barranquilla",Apartamento,1900000,0,1900000,21348,El Tabor,Noroccidente,"El Tabor, Barranquilla",89.0,3,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-el-tabor-3-habitaciones-2-banos-1-garajes/MC3355626,3015829579,573015829579,Persona natural,Mario Orozco,10,https://multimedia.metrocuadrado.com/MC3355626/MC3355626_1.jpg,True,"MIRADOR DEL MAR 2                                             - El apto posee sala, sala de estudio, 3 habitaciones, 2 baños, cocina integral y zona de lavandería. Por otro lado, el edificio cuenta con dos piscinas,  jacuzzi, cancha de fútbol, parque para niños, salón social y parqueadero cubierto c"
MQ-23769-M7006590,Metrocuadrado,"Apartamento en Arriendo, Villa Carolina, Barranquilla",Apartamento,1527000,373000,1900000,23750,Villa Carolina,Noroccidente,"Villa Carolina, Barranquilla",80.0,3,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-ub.-mirador-del-parque-3-habitaciones-2-banos-1-garajes/23769-M7006590,3163344763,573163344763,CONINSA RAMON H. S.A. / FINANCAR S.A / Inmobiliaria,GINA DEL SOCORRO BARRAZA SANJUAN,60,https://multimedia.metrocuadrado.com/23769-M7006590/23769-M7006590_1.jpg,True,"EN ARRIENDO APARTAMENTO con la administración incluida, con una distribución de 72 M2, en un piso 3 acceso por escaleras, lado sombra, fresco y acogedor, Ubicado en el exclusivo barrio VILLA CAROLINA en el conjunto Palmeras de Andalucía en Barranquilla, este acogedor apartamento te ofrece un estilo "
MERGED-13957-M7032190-194252597,Metrocuadrado + Finca Raiz,"Apartamento en Arriendo en Villa carolina, Barranquilla",Apartamento,1900000,0,1900000,35185,Villa Carolina,Norte,"Villa Carolina, Barranquilla",54.0,2,2,0,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-villa-carolina-2-habitaciones-2-banos/13957-M7032190,3241000082,573014726883,ASESORAR INMOBILIARIA DEL CARIBE S.A.S / CONINSA RAMON H. S.A. / Inmobiliaria,Asesor Comercial,34,https://multimedia.metrocuadrado.com/13957-M7032190/13957-M7032190_41.jpg,True,"Descubre este moderno apartamento en la vibrante Zona Riomar de Barranquilla, ubicado en el barrio Villa Carolina, ideal para quienes buscan un espacio funcional y accesible. Construido en 2021, este inmueble de estrato 3 ofrece una excelente oportunidad para establecer tu hogar en una de las áreas "
MQ-MC5960782,Metrocuadrado,"Apartamento en Arriendo, EL PARAISO   Noroccidente, Barranquilla",Apartamento,1900000,0,1900000,35849,El Paraiso,Noroccidente,"El Paraiso, Barranquilla",53.0,2,2,0,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-batallon-infanteria-2-habitaciones-2-banos/MC5960782,3013777232,573013777232,Persona natural,Brenda Rodriguez,10,https://multimedia.metrocuadrado.com/MC5960782/MC5960782_1.jpg,True,"Este apartamento es para ti! Características del apartamento: dos acogedoras habitaciones , Moderna cocina abierta, Zona de labores encubierta , Amplia sala ideal para compartir en familia, Espacioso estudio, perfecto para trabajar desde casa  Ubicado en un conjunto residencial completo, que te ofre"
FR-193806664,Finca Raiz,"Apartamento en Arriendo en Ciudad jardin, Barranquilla",Apartamento,1900000,0,1900000,36538,Ciudad jardin,Norte,"Ciudad Jardín, Norte Centro Historico, Barranquilla, Atlántico, Colombia",52.0,2,1,1,5,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ciudad-jardin-barranquilla/193806664,+5731,,INMOBILIARIA SOE BARRANQUILLA S.A.S,INMOBILIARIA SOE BARRANQUILLA S.A.S,9,https://cdn2.infocasas.com.uy/repo/img/6a172017e98e9_infocdn__wsnnbwrxui9wuymolimcn3jzajmetagju5qchqh6png.png,True,"Apartamento en arriendo ubicado en Ciudad Jardín. Cerca a centros comerciales, supermercados, universidades, parques. Cuenta con 1 habitación, 1 baño, baño en alcoba principal, closet en la habitación, sala comedor, estar de tv, balcón que conecta la habitación con la sala, cocina integral abierta c"
FR-193810644,Finca Raiz,"Apartamento en Arriendo en Ciudad jardin, Barranquilla",Apartamento,1900000,0,1900000,47500,Ciudad jardin,Norte,"Edificio Fountain 79B, Calle 79b, Norte Centro Historico, Barranquilla, Atlántico, Colombia",40.0,1,2,1,5,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ciudad-jardin-barranquilla/193810644,+5730,,ACE INMOBILIARIA / INMOBILIARIA SOE BARRANQUILLA S.A.S,ACE INMOBILIARIA,24,https://cdn2.infocasas.com.uy/repo/img/6a185ca91bbf5_infocdn__ue2plb8t9nqpkidwd9qpurpfkt3deg0tovr9myonjpg.jpg,True,"SE ARRIENDA HERMOSO APARTAMENTO AMOBLADO EN BUEN ESTADO Y CON EXCELENTE UBICACION EN EL BARRIO CIUDA JARDIN  DE BARRANQUILLA. CUENTA CON 40 M2 SALA COMEDOR AMPLIA CON MUEBLES Y TV COCINA INTEGRAL CON ESTUFA Y EXTRACTOR, NEVERA, ENTRE OTROS 1 HABITACION COMPLETA CON CAMA, AIRE ACONDICIONADO, CLOSET, "
FR-193955797,Finca Raiz,"Apartamento en Arriendo en Alameda del Rio, Barranquilla",Apartamento,1650000,288000,1938000,28925,Alameda del Rio,Norte,carrera 43b n °112-89,67.0,3,2,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-alameda-del-rio-barranquilla/193955797,+5732,,IGAMA S.A,IGAMA S.A,16,https://cdn2.infocasas.com.uy/repo/img/6a512776701c0_infocdn__5170-1-1783097823jpg.jpg,True,"En el corazón de Barranquilla, en la vibrante Zona Norte del Centro Histórico, se encuentra un apartamento que representa una valiosa oportunidad de inversión. Con un área de 74 m², este inmueble, construido en 2020, se sitúa en el barrio Alameda Del Río, un sector en constante desarrollo y crecimie"
MQ-21188-M6560694,Metrocuadrado,"Apartamento en Arriendo, LA CUMBRE, Barranquilla",Apartamento,1950000,0,1950000,15000,La Cumbre,Noroccidente,"La Cumbre, Barranquilla",130.0,3,2,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-la-campina-3-habitaciones-2-banos-1-garajes/21188-M6560694,3054703288,573043782942,Inmobiliaria,JOHAN ANTONIO LOZANO AMADOR,12,https://multimedia.metrocuadrado.com/21188-M6560694/21188-M6560694_1.jpg,True,"Encantador apartamento, en el corazón histórico de Barranquilla. Este moderno y acogedor hogar cuenta con 2 amplias habitaciones y un cómodo baño, ideal para disfrutar de un estilo de vida relajado y cómodo. El apartamento también ofrece un práctico parqueadero, y la administración está incluida en "
FR-193958952,Finca Raiz,"Apartamento en Arriendo en Granadillo, Barranquilla",Apartamento,1423000,527000,1950000,17727,Granadillo,Norte,Carrera 46 #82 -09,110.0,2,2,1,5,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-granadillo-barranquilla/193958952,+5730,,Issa Saieh Inmobiliaria,Issa Saieh Inmobiliaria,19,https://cdn2.infocasas.com.uy/repo/img/6a4c0604e2efa_infocdn__31358-1-1747150592jpg.jpg,True,"Descubre este apartamento con 110 metros cuadrados de espacio distribuidoes en 2 habitaciones, 2 baños, sala-comedor, cocina integral, baño social, estudio, area de labores, tambien cuenta con salon social, ascensor, zona infantil, planta electrica, zona BBQ y 1 parqueadero, este inmueble ofrece com"
MQ-671-M6725953,Metrocuadrado,"Apartamento en Arriendo, San Vicente, Barranquilla",Apartamento,1550000,400000,1950000,38235,San Vicente,Norte,"San Vicente, Barranquilla",51.0,1,1,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-san-vicente-1-habitaciones-1-banos-1-garajes/671-M6725953,3104736731,573160232662,Inmobiliaria,Agencia Arenas Arenas,10,https://multimedia.metrocuadrado.com/671-M6725953/671-M6725953_26.jpg,True,"Apartamento dúplex en arriendo ubicado en el barrio San Vicente en un edificio con vigilancia privada las 24 Horas, el apartamento se encuentra en el piso 5 con ascensor, con un área aproximada de 51mt2 distribuido en 1 habitación, 1 baño, balcón, sala-comedor, cocina integral, con buena distribució"
MQ-18260-M5418909,Metrocuadrado,"Apartamento en Arriendo, Los Alpes, Barranquilla",Apartamento,1950000,0,1950000,65000,Los Alpes,Noroccidente,"Los Alpes, Barranquilla",30.0,1,1,0,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-los-alpes-1-habitaciones-1-banos/18260-M5418909,3157227537,573157227537,Inmobiliaria,ELIAS MOISES SAIEH  PACHECO,10,https://multimedia.metrocuadrado.com/18260-M5418909/18260-M5418909_1.jpg,True,"¡Gran oportunidad! Arrienda con nosotros este apartaestudio tipo loft amoblado de 30 m2 ubicado en sector norte de la ciudad. Cuenta con 1 habitación, sala comedor, cocina semi integral, 1 baño, terraza ¡Ven y asesórate con nosotros!"
MQ-21617-M7050541,Metrocuadrado,"Apartamento en Arriendo, CIUDAD MALLORQUIN, Barranquilla",Apartamento,1700000,265000,1965000,34474,Ciudad Mallorquin,Noroccidente,"Ciudad Mallorquin, Barranquilla",57.0,2,2,1,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-altos-del-prado-2-habitaciones-2-banos-1-garajes/21617-M7050541,3187831597,573187831597,Inmobiliaria,DILIA MARIA BEDOYA  OJEDA,9,https://multimedia.metrocuadrado.com/21617-M7050541/21617-M7050541_1.jpg,True,Apartamento para alquilar en Mallorquín  Conjunto Amore Área 57 m2  2 habitaciones  2 baños Cocina abierta y zona de labores  Sala - comedor - estudio. A.A en cada habitación.  Lado sombra  Parqueadero comunal  Canon arriendo: $1.700.000 incluida administración
FR-194155337,Finca Raiz,"Apartamento en Arriendo en El prado, Barranquilla",Apartamento,1800000,184000,1984000,34207,El prado,Norte,Carrera 53 # 70 - 54,58.0,1,1,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-el-prado-barranquilla/194155337,+5732,,Grupo Arenas,Grupo Arenas,13,https://cdn2.infocasas.com.uy/repo/img/6a8c93d6af867_infocdn__65185-12-56388117jpg.jpg,True,"Apartamento amoblado en arriendo en la ciudad de Barranquilla ubicado en el barrio El prado, en un edificio con vigilancia privada las 24 Horas y zonas sociales de entretenimiento, el edificio cuenta con 6 pisos, el apartamento se encuentra ubicado en el piso 5, con un área aproximada de 58.20 mt2, "
FR-192806591,Finca Raiz,"Apartamento en Arriendo en Ciudad jardin, Barranquilla",Apartamento,2000000,0,2000000,15385,Ciudad jardin,Norte,Carrera 42C # 80B - 103 Apto 1 Piso 2,130.0,3,2,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ciudad-jardin-barranquilla/192806591,+5731,,Financar S.A.,Financar S.A.,5,https://cdn2.infocasas.com.uy/repo/img/68dc41aca518c_infocdn__104651-1-1756496501jpg.jpg,True,"Apartamento ubicado en buen sector de la ciudad, amplio, fresco e iluminado. Cuenta con 130 mts2, 3 alcobas, 2 baños, sala- comedor, cuarto servicio con baño, cocina integral, zona de labores, zona de parqueo. Cerca a parques, colegios, universidades, supermercados, centros comerciales, transporte p"
MQ-23769-M7006552,Metrocuadrado,"Apartamento en Arriendo, El Tabor, Barranquilla",Apartamento,1350000,650000,2000000,17699,El Tabor,Noroccidente,"El Tabor, Barranquilla",113.0,3,2,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-el-tabor-3-habitaciones-2-banos-1-garajes/23769-M7006552,3163344763,573163344763,FINANCAR S.A / Inmobiliaria,GINA DEL SOCORRO BARRAZA SANJUAN,33,https://multimedia.metrocuadrado.com/23769-M7006552/23769-M7006552_1.jpg,True,"SE ARRIENDA APARTAMENTO EN BARRIO TABOR   ÁREA 87 MTS   3 HABITACIONES   2 BAÑOS   SALA-COMEDOR   COCINA   ZONA LABORES   BALCÓN   1 PARQUEADERO CUBIERTO   EDIFICIO CUENTA CON PISCINA, PARQUE INFANTIL, PARQUEADERO DE VISITANTES, SALON SOCIAL, VIGILANCIA 24H.   CODIGO PRESTIGIO 108-90"
MQ-710-M4704459,Metrocuadrado,"Apartamento en Arriendo, Villa Carolina, Barranquilla",Apartamento,2000000,0,2000000,17857,Villa Carolina,Norte,"Villa Carolina, Barranquilla",112.0,3,4,0,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-villa-carolina-3-habitaciones-4-banos/710-M4704459,3204940443,573204940443,Inmobiliaria,BIENES Y PROYECTOS INMOBILIARIOS,12,https://multimedia.metrocuadrado.com/710-M4704459/710-M4704459_121.jpg,True,"Arriendo excelente  Apartamento muy fresco y amplio ubicado en buen sector de la ciudad, barrio Villa Carolina, mide 112m2, estrato 3, segundo piso, 3 alcobas todas con closets, cuarto de servicio con su baño, sala, comedor, cocina integral, área de labores, patio, balcón.  Cerca de este quedan cent"
MQ-23769-M7006602,Metrocuadrado,"Apartamento en Arriendo, Villa Santos, Barranquilla",Apartamento,2000000,0,2000000,20833,Villa Santos,Noroccidente,"Villa Santos, Barranquilla",96.0,3,2,1,6,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-villa-santos-3-habitaciones-2-banos-1-garajes/23769-M7006602,3163344763,573163344763,Inmobiliaria,GINA DEL SOCORRO BARRAZA SANJUAN,12,https://multimedia.metrocuadrado.com/23769-M7006602/23769-M7006602_1.jpg,True,"¿ SE ARRIENDA AMPLIO APARTAMENTO INDEPENDIENTE – VILLA SANTOS  Disfruta de comodidad, amplitud y una excelente ubicación en este apartamento de 96 m², situado en el exclusivo barrio Villa Santos, al norte de Barranquilla.  El inmueble ofrece una distribución funcional, ideal para familias que buscan"
MQ-671-M6519191,Metrocuadrado,"Apartamento en Arriendo, Villa Country, Barranquilla",Apartamento,1343000,657000,2000000,23646,Villa Country,Norte,"Villa Country, Barranquilla",84.58,2,2,0,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-villa-country-2-habitaciones-2-banos/671-M6519191,3104736731,573160232662,Inmobiliaria,Agencia Arenas Arenas,12,https://multimedia.metrocuadrado.com/671-M6519191/671-M6519191_20.jpg,True,"Apartamento en arriendo ubicado en la ciudad de Barranquilla sector de Villa Country, en un edificio que o cuenta con10 pisos y el apartamento se encuentra ubicado en el piso 6, con un área de 84.58mt2,  distribuidos en  2 habitaciones, 2 baños, sala comedor, cocina semi integral, área de labores  c"
MQ-9851-M6147475,Metrocuadrado,"Apartamento en Arriendo, Villa Santos, Barranquilla",Apartamento,1228000,772000,2000000,24184,Villa Santos,Noroccidente,"Villa Santos, Barranquilla",82.7,2,3,1,6,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-villa-santos-2-habitaciones-3-banos-1-garajes/9851-M6147475,6053303333,573176969321,FINANCAR S.A / Inmobiliaria,Asesor Comercial,24,https://multimedia.metrocuadrado.com/9851-M6147475/9851-M6147475_21.jpg,True,"Apartamento de 80 m² ubicado en el exclusivo barrio Villa Santos, en el Edificio Cassandra, una excelente opción para quienes buscan comodidad, funcionalidad y una ubicación privilegiada al norte de Barranquilla. El inmueble cuenta con una distribución práctica que incluye 2 habitaciones, 2 baños, a"
MERGED-18260-M6123888-194235662,Metrocuadrado + Finca Raiz,"Apartamento en Arriendo en Bellavista, Barranquilla",Apartamento,1464000,536000,2000000,25641,Bellavista,Norte,"Bellavista, Barranquilla",78.0,3,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-bellavista-3-habitaciones-2-banos-1-garajes/18260-M6123888,3157227537,573157227537,Inmobiliaria / Issa Saieh Inmobiliaria,ELIAS MOISES SAIEH  PACHECO,27,https://multimedia.metrocuadrado.com/18260-M6123888/18260-M6123888_16.jpg,True,"Descubre este apartamento de 78 metros cuadrados distribuidos en sala-comedor, cocina, balcon, 3 habitaciones, 2 baños, area del abores, cuenta con ascensor y 1 parqueadero, este inmueble ofrece comodidad en cada rincón. No pierdas la oportunidad de vivir en este espacio. ¡Contáctanos ahora para más"
MERGED-5410-M6553478-193686270,Metrocuadrado + Finca Raiz,"Apartamento en Arriendo en Bellavista, Barranquilla",Apartamento,2000000,0,2000000,28169,Bellavista,Norte,"Carrera 61b #70-84, Norte Centro Historico, Barranquilla, Atlántico, Colombia",71.0,2,2,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-bellavista-2-habitaciones-2-banos-1-garajes/5410-M6553478,3145889507,573145889507,ALFREDO DE CASTRO P Y CIAS SAS / Inmobiliaria Mchaileh,Asesor Comercial,27,https://multimedia.metrocuadrado.com/5410-M6553478/5410-M6553478_13.jpg,True,"APARTAMENTO EN ARRIENDO EN EL SECTOR DEL BARRIO PRADO VIEJO EN LA CIUDAD DE BARRANQUILLA  EXCELENTE UBICACION  BUENOS ACABADOS  AREA ; 71 MTS  2 HABITACIONES , 2 BAÑOS , COCINA INTEGRAL , COMEDOR , SALA , ZONA DE LABORES , GARAJE  CUBIERTO , PLANTA ELECTRICA , PORTERIA . APTO 504 VALOR DE ARRIENDO $"
MQ-9851-M5710150,Metrocuadrado,"Apartamento en Arriendo, Miramar, Barranquilla",Apartamento,1650000,350000,2000000,28986,Miramar,Noroccidente,"Miramar, Barranquilla",69.0,2,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-miramar-2-habitaciones-2-banos-1-garajes/9851-M5710150,6053303333,573176969321,CASARRIENDOS SAS / FINANCAR S.A,Asesor Comercial,24,https://multimedia.metrocuadrado.com/9851-M5710150/9851-M5710150_176.jpg,True,"Apartamento en excelente estado, amplio y fresco. cuenta con 2 habitaciones, estudio, sala-comedor, cocina integral, balcón. El edificio cuenta con piscina, salón social, parque infantil. Buena ubicación en zona residencial cerca del centro comercial Miramar."
FR-194246612,Finca Raiz,"Apartamento en Arriendo en Ciudad Mallorquin, Barranquilla",Apartamento,1600000,400000,2000000,29412,Ciudad Mallorquin,Noroccidente,Calle 1C# 20-79,68.0,2,2,1,5,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ciudad-mallorquin-barranquilla/194246612,+5730,,Issa Saieh Inmobiliaria,Issa Saieh Inmobiliaria,9,https://cdn2.infocasas.com.uy/repo/img/6aa581917bfab_infocdn__32466-1-1789231232jpg.jpg,True,"Descubre apartamento de 68m2 ubicado en una zona residencial. Con 2 habitaciones, 2 baños completos, el apto ofrece un amplio espacio para disfrutar en familia. La sala-comedor con vista exterior brinda luminosidad, Calidez, Cocina integral. Además, cuenta con parqueadero asignado, ascensor, piscina"
FR-193446522,Finca Raiz,Apartamento en Arriendo en Barranquilla,Apartamento,2000000,0,2000000,29412,Conjunto residencial villa campestre,Noroccidente,"Conjunto Residencial Fidano 1, Carrera 20, Sabanilla Montecarmelo, Barranquilla, Atlantico, Colombia",68.0,2,2,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-barranquilla/193446522,57317,,Ramiro Franco,Ramiro Franco,19,https://cdn2.infocasas.com.uy/repo/img/69a3c73545ab7_infocdn__sycvyvgke4zdqm2h4rlp9th5abzjz7zxznloobgejpg.jpg,True,"¡Bienvenido a tu nuevo hogar! Descubre este elegante apartamento de 2 habitaciones y 2 baños. Cuenta con cocina y pantry, area de labores con closet, sala - comedor y estudio. Todas las ventanas cuentan con persianas dobles (screen y blackout). Piso de alta resistencia, armarios en cada habitación, "
MQ-13957-M6973543,Metrocuadrado,"Apartamento en Arriendo, Villa Carolina, Barranquilla",Apartamento,2000000,0,2000000,30303,Villa Carolina,Norte,"Villa Carolina, Barranquilla",66.0,3,2,0,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-villa-carolina-3-habitaciones-2-banos/13957-M6973543,3241000082,573014726883,CONINSA RAMON H. S.A.,Asesor Comercial,12,https://multimedia.metrocuadrado.com/13957-M6973543/13957-M6973543_8.jpg,True,"CONINSA ARRIENDA – APARTAMENTO EN VILLA CAROLINA. amplio apartamento de 66 metros, que consta de tres alcobas, dos baños, cocina integral, balcón y zona de labores. Cuenta con parqueadero comunal, conjunto consta de vigilancia 24 horas y zona infantil. BENEFICIOS DE VIVIR EN ESTE SECTOR Villa caroli"
MQ-20610-M5992536,Metrocuadrado,"Apartamento en Arriendo, Villa Santos, Barranquilla",Apartamento,2000000,0,2000000,30441,Villa Santos,Noroccidente,"Villa Santos, Barranquilla",65.7,1,2,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-villa-santos-1-habitaciones-2-banos-1-garajes/20610-M5992536,0000000000,0000000000,Inmobiliaria,Oficinas REMAX,12,https://multimedia.metrocuadrado.com/20610-M5992536/20610-M5992536_13.jpg,True,"¡Tu vida, tu espacio, tu estilo en Villa Santos! Arrienda apartamento de 65,7 m² con entrega inmediata Vive en un apartamento moderno, ideal para profesionales dinámicos que buscan luz, comodidad y vistas exclusivas de la zona norte de Barranquilla. 1 dormitorio amplio, aire acondicionado instalado,"
FR-194101642,Finca Raiz,"Apartamento en Arriendo en Miramar, Barranquilla",Apartamento,1726000,274000,2000000,32787,Miramar,Noroccidente,"Miramar, Norte Centro Historico, Barranquilla, Atlántico, Colombia",61.0,2,2,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-miramar-barranquilla/194101642,57316,,Faigale Dales,Faigale Dales,19,https://cdn2.infocasas.com.uy/repo/img/6a7b2ec31369a_infocdn__qug0xpk1nhryost7rpad3rkxc3x1gjbrcvcvst6ejpg.jpg,True,"- Apartamento esquinero con vistas exteriores, piso 11 excelentes luz y ventilación. - 2 habitaciones, 2 baños, sala, comedor, zona de estudio, balcón, cocina integral y zona de lavado.  - Se entrega con 2 aires inverter y 5 abanicos de techo y controles.  - Se entrega con persianas en cuartos y cor"
MQ-MC6961310,Metrocuadrado,"Apartamento en Arriendo, ALTOS DE SAN VICENTE   Noroccidente, Barranquilla",Apartamento,2000000,0,2000000,34483,Altos de San Vicente,Noroccidente,"Altos de San Vicente, Barranquilla",58.0,1,1,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-san-vicente-1-habitaciones-1-banos-1-garajes/MC6961310,3162675339,573162675339,Persona natural,Ana Maria Issa Galeano,11,https://multimedia.metrocuadrado.com/MC6961310/MC6961310_1.jpg,True,"El Apartaestudio se sitúa en el edificio Laura, ubicado en la carrera 50 con calle 84, estrato cinco."
